[2022-08-21 13:01:48] Executing SamBamViz v0.0.9
[2022-08-21 13:49:12] Parsed 14450000 reads...
[2022-08-21 13:49:22] Parsed 14500000 reads...
[2022-08-21 13:49:32] Parsed 14550000 reads...
[2022-08-21 13:49:43] Parsed 14600000 reads...
[2022-08-21 13:49:53] Parsed 14650000 reads...
[2022-08-21 13:50:03] Parsed 14700000 reads...
[2022-08-21 13:50:12] Parsed 14750000 reads...
[2022-08-21 13:50:22] Parsed 14800000 reads...
[2022-08-21 13:50:32] Parsed 14850000 reads...
[2022-08-21 13:50:42] Parsed 14900000 reads...
[2022-08-21 13:50:52] Parsed 14950000 reads...
[2022-08-21 13:51:01] Parsed 15000000 reads...
[2022-08-21 13:51:11] Parsed 15050000 reads...
[2022-08-21 13:51:21] Parsed 15100000 reads...
[2022-08-21 13:51:31] Parsed 15150000 reads...
[2022-08-21 13:51:41] Parsed 15200000 reads...
[2022-08-21 13:51:50] Parsed 15250000 reads...
[2022-08-21 13:51:59] Parsed 15300000 reads...
[2022-08-21 13:52:09] Parsed 15350000 reads...
[2022-08-21 13:52:18] Parsed 15400000 reads...
[2022-08-21 13:52:25] Parsed 15450000 reads...
[2022-08-21 13:52:33] Parsed 15500000 reads...
[2022-08-21 13:52:40] Parsed 15550000 reads...
[2022-08-21 13:52:48] Parsed 15600000 reads...
[2022-08-21 13:52:55] Parsed 15650000 reads...
[2022-08-21 13:53:02] Parsed 15700000 reads...
[2022-08-21 13:53:10] Parsed 15750000 reads...
[2022-08-21 13:53:18] Parsed 15800000 reads...
[2022-08-21 13:53:25] Parsed 15850000 reads...
[2022-08-21 13:53:33] Parsed 15900000 reads...
[2022-08-21 13:53:40] Parsed 15950000 reads...
[2022-08-21 13:53:48] Parsed 16000000 reads...
[2022-08-21 13:53:55] Parsed 16050000 reads...
[2022-08-21 13:54:03] Parsed 16100000 reads...
[2022-08-21 13:54:10] Parsed 16150000 reads...
[2022-08-21 13:54:17] Parsed 16200000 reads...
[2022-08-21 13:54:25] Parsed 16250000 reads...
[2022-08-21 13:54:32] Parsed 16300000 reads...
[2022-08-21 13:54:40] Parsed 16350000 reads...
[2022-08-21 13:54:47] Parsed 16400000 reads...
[2022-08-21 13:54:55] Parsed 16450000 reads...
[2022-08-21 13:55:02] Parsed 16500000 reads...
[2022-08-21 13:55:09] Parsed 16550000 reads...
[2022-08-21 13:55:17] Parsed 16600000 reads...
[2022-08-21 13:55:24] Parsed 16650000 reads...
[2022-08-21 13:55:31] Parsed 16700000 reads...
[2022-08-21 13:55:38] Parsed 16750000 reads...
[2022-08-21 13:55:46] Parsed 16800000 reads...
[2022-08-21 13:55:53] Parsed 16850000 reads...
[2022-08-21 13:56:01] Parsed 16900000 reads...
[2022-08-21 13:56:08] Parsed 16950000 reads...
[2022-08-21 13:56:16] Parsed 17000000 reads...
[2022-08-21 13:56:23] Parsed 17050000 reads...
[2022-08-21 13:56:30] Parsed 17100000 reads...
[2022-08-21 13:56:37] Parsed 17150000 reads...
[2022-08-21 13:56:45] Parsed 17200000 reads...
[2022-08-21 13:56:52] Parsed 17250000 reads...
[2022-08-21 13:57:00] Parsed 17300000 reads...
[2022-08-21 13:57:07] Parsed 17350000 reads...
[2022-08-21 13:57:14] Parsed 17400000 reads...
[2022-08-21 13:57:22] Parsed 17450000 reads...
[2022-08-21 13:57:29] Parsed 17500000 reads...
[2022-08-21 13:57:37] Parsed 17550000 reads...
[2022-08-21 13:57:44] Parsed 17600000 reads...
[2022-08-21 13:57:52] Parsed 17650000 reads...
[2022-08-21 13:57:59] Parsed 17700000 reads...
[2022-08-21 13:58:06] Parsed 17750000 reads...
[2022-08-21 13:58:14] Parsed 17800000 reads...
[2022-08-21 13:58:21] Parsed 17850000 reads...
[2022-08-21 13:58:29] Parsed 17900000 reads...
[2022-08-21 13:58:37] Parsed 17950000 reads...
[2022-08-21 13:58:44] Parsed 18000000 reads...
[2022-08-21 13:58:51] Parsed 18050000 reads...
[2022-08-21 13:58:59] Parsed 18100000 reads...
[2022-08-21 13:59:06] Parsed 18150000 reads...
[2022-08-21 13:59:14] Parsed 18200000 reads...
[2022-08-21 13:59:21] Parsed 18250000 reads...
[2022-08-21 13:59:29] Parsed 18300000 reads...
[2022-08-21 13:59:36] Parsed 18350000 reads...
[2022-08-21 13:59:44] Parsed 18400000 reads...
[2022-08-21 13:59:51] Parsed 18450000 reads...
[2022-08-21 13:59:59] Parsed 18500000 reads...
[2022-08-21 14:00:06] Parsed 18550000 reads...
[2022-08-21 14:00:13] Parsed 18600000 reads...
[2022-08-21 14:00:21] Parsed 18650000 reads...
[2022-08-21 14:00:28] Parsed 18700000 reads...
[2022-08-21 14:00:36] Parsed 18750000 reads...
[2022-08-21 14:00:44] Parsed 18800000 reads...
[2022-08-21 14:00:51] Parsed 18850000 reads...
[2022-08-21 14:00:58] Parsed 18900000 reads...
[2022-08-21 14:01:05] Parsed 18950000 reads...
[2022-08-21 14:01:12] Parsed 19000000 reads...
[2022-08-21 14:01:20] Parsed 19050000 reads...
[2022-08-21 14:01:27] Parsed 19100000 reads...
[2022-08-21 14:01:35] Parsed 19150000 reads...
[2022-08-21 14:01:43] Parsed 19200000 reads...
[2022-08-21 14:01:50] Parsed 19250000 reads...
[2022-08-21 14:01:57] Parsed 19300000 reads...
[2022-08-21 14:02:04] Parsed 19350000 reads...
